Variation,a,IntH2_total: None
1,0.5mm,3.520028e-17
2,0.8mm,2.6512512e-17
3,1mm,2.3140335e-17
4,1.2mm,2.0149579e-17
5,1.5mm,1.6935238e-17
6,2mm,1.3494501e-17
