experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
asweep,2,4.5,2,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4023764e-18,0.5,4.5,0,NaN,NaN,NaN,NaN,NaN,3.9192053256284,1.25220310782656,3.9192053256284,513964.55812729,0.252842592926102,0.382184564102496,NaN
Tcompare,2,5,2.25,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,5,0,2.25,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,579623.844587317,0.637167830029475,0.27838519683503,NaN
Tcompare,2,8,3.75,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,8,0,3.75,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,980176.907920016,0.775504177226582,0.374022151454358,NaN
Tcompare,2,10,4.75,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,10,0,4.75,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,1253495.46878233,0.869898390608137,0.439280308724017,NaN
agmatrix,2,1.2,0.5,0.2,2.3019731e-17,1.1866386e-17,1.1153345e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3019731e-17,0.2,1.2,0,NaN,NaN,NaN,NaN,NaN,6.9113447435088,2.20820463538608,6.9113447435088,126417.688380454,0.686954500875993,0.564791030933214,NaN
agmatrix,2,1.5,0.5,0.5,2.3254273e-17,1.2325868e-17,1.0928405e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3254273e-17,0.5,1.5,0,NaN,NaN,NaN,NaN,NaN,6.94646445305075,2.21942553497683,6.94646445305075,126606.183939669,0.693102016498793,0.568065420776402,NaN
agmatrix,2,2,0.5,1,2.3373486e-17,1.3024684e-17,1.0348801e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3373486e-17,1,2,0,NaN,NaN,NaN,NaN,NaN,6.96424721181173,2.22510720356424,6.96424721181173,126920.343205028,0.696285601219375,0.569775619088787,NaN
agmatrix,2,2.5,0.5,1.5,2.3523894e-17,1.3661862e-17,9.862032e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3523894e-17,1.5,2.5,0,NaN,NaN,NaN,NaN,NaN,6.98661868793779,2.23225498726124,6.98661868793779,127234.502470387,0.70026444263629,0.571907766546839,NaN
agmatrix,2,2.2,1,0.2,1.3426123e-17,6.9065343e-18,6.5195889e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3426123e-17,0.2,2.2,0,NaN,NaN,NaN,NaN,NaN,5.27822312489112,1.68641519176618,5.27822312489112,254092.013822342,0.445257562014587,0.445103406361172,NaN
agmatrix,2,2.5,1,0.5,1.3427694e-17,7.311195e-18,6.1164989e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3427694e-17,0.5,2.5,0,NaN,NaN,NaN,NaN,NaN,5.27853192013967,1.68651385318802,5.27853192013967,254469.004940773,0.445433128830551,0.44522181245169,NaN
