case_label,non_ferrite_material,SF,IntH2_ferrite,IntH2_non_ferrite,IntH2_total,mu_pp_ferrite_over_mu0,mu_pp_non_ferrite_over_mu0,B_1Hz_fT,B_avg_1_30Hz_fT,B_max_1_30Hz_fT
x_ferrite_only,ferrite,3.62910729,4.16011287324e-06,0,4.16011287324e-06,6.1,NaN,0.289977790754209,0.092649162422966,0.289977790754209
x_ferrite,ferrite,3.62910729,4.16011287324e-06,0,4.16011287324e-06,6.1,NaN,0.289977790754209,0.092649162422966,0.289977790754209
x_amorphous,amorphous,8.54766448048,4.72049628699e-07,1.56265529622e-07,6.28315158321e-07,6.1,NaN,0.0976800807329303,0.0312092096493853,0.0976800807329303
x_nanocrystalline,nanocrystalline,25.1457778386,4.2154797183e-08,1.11715359419e-08,5.33263331249e-08,6.1,NaN,0.0291901066519351,0.00932636573754429,0.0291901066519351
z_open_ferrite_only,ferrite,2.41246647623681,2.97131561251e-06,0,2.97131561251e-06,6.1,NaN,0.245067980613482,0.0783002832095246,0.245067980613482
z_p0_amorphous_shell_cap,amorphous,2.52612985203,0,3.96001641333e-07,3.96001641333e-07,6.1,NaN,0,0,0
z_single_nanocrystalline_cap,nanocrystalline_cap,2.90655995227,3.73541174825e-06,1.57310021041e-10,3.73556905827104e-06,6.1,NaN,0.274777659433974,0.0877926545094598,0.274777659433974
