layer,c0,c1,c2,c3,c4,c5,R2,num_points,rankX,condX
2,2.87618636982677,-1.53372162073064,0.0203867193602383,0.359993330236424,-0.00315847030681023,0.000545937614413752,0.997442743337242,16,6,45.7042303981917
3,2.5046969196063,-1.32004421940557,-0.0533386200701388,0.294908999513986,0.0206222274849802,0.0431457435375604,0.997749900560224,16,6,45.7042303981917
4,2.22943879405285,-1.19596579319119,-0.0726066584540079,0.271546492508563,0.0208015746549516,0.0781884588624448,0.997970667501904,13,6,54.3040667909052
