"t [mm]","IntH2_total []"
0.5,6.11996007540042E-18
0.6,5.15579101125339E-18
0.7,4.66880502177263E-18
0.8,4.18238665956347E-18
0.9,3.75899451141685E-18
1,3.45825559217975E-18
1.1,3.17288230086125E-18
1.2,2.93515437798748E-18
1.3,2.72551412423174E-18
1.4,2.59296335467587E-18
1.5,2.42946313090849E-18
