t_mm,Qint,B_1Hz_fT_per_sqrtHz,B_avg_1_30_fT_per_sqrtHz,B_max_1_30_fT_per_sqrtHz
0.5,6.11996007540042e-18,3.56358177178548,1.13857983924544,3.56358177178548
0.6,5.15579101125339e-18,3.27084592420267,1.04504946569792,3.27084592420267
0.7,4.66880502177263e-18,3.11254259169272,0.994470864048243,3.11254259169272
0.8,4.18238665956347e-18,2.94594425528928,0.94124197266076,2.94594425528928
0.9,3.75899451141685e-18,2.79285430296015,0.892329068600849,2.79285430296015
1,3.45825559217975e-18,2.67880424365243,0.855889579763903,2.67880424365243
1.1,3.17288230086125e-18,2.56589816026148,0.819815596196328,2.56589816026148
1.2,2.93515437798748e-18,2.46790199197273,0.788505395201286,2.46790199197273
1.3,2.72551412423174e-18,2.3781358112526,0.75982471094613,2.3781358112526
1.4,2.59296335467587e-18,2.31958677439101,0.741118039611788,2.31958677439101
1.5,2.42946313090849e-18,2.245264918192,0.71737188405743,2.245264918192
