"t [mm]","IntH2_total []"
0.5,2.42210480624361E-17
0.6,2.11359349323305E-17
0.7,1.84646005694092E-17
0.8,1.68896642147125E-17
0.9,1.548097107795E-17
1,1.41615950131069E-17
1.1,1.29386097257671E-17
1.2,1.20872649762585E-17
1.3,1.13407468682272E-17
1.4,1.06339013746732E-17
1.5,9.90095248470844E-18
