Variation,a,IntH2_total: None
1,0.5mm,1.37554e-17
2,0.8mm,9.8633553e-18
3,1mm,8.1781612e-18
4,1.2mm,6.7514254e-18
5,1.5mm,5.5389731e-18
6,2mm,4.332249e-18
