"a [mm]","IntH2_intotal []"
0.5,4.51469358194408E-18
0.6,3.68679261001993E-18
0.7,3.35524303802171E-18
0.8,2.92739927771674E-18
0.9,2.72408466476698E-18
1,2.50594924295349E-18
1.1,2.30492381595033E-18
1.2,2.13372594505045E-18
1.3,1.99391911006992E-18
1.4,1.86930233438633E-18
1.5,1.79165685004259E-18
