Variation,T,a,g,IntH2_total: None
1,1.9mm,0.5mm,0.2mm,1.7401713e-17
2,2.5mm,0.5mm,0.5mm,1.7494394e-17
3,3.5mm,0.5mm,1mm,1.7106427e-17
4,4.5mm,0.5mm,1.5mm,1.7400316e-17
5,3.4mm,1mm,0.2mm,1.0122468e-17
6,4mm,1mm,0.5mm,9.959751e-18
7,5mm,1mm,1mm,1.0261225e-17
8,6mm,1mm,1.5mm,1.0582984e-17
9,4.9mm,1.5mm,0.2mm,6.7830194e-18
10,5.5mm,1.5mm,0.5mm,6.9242229e-18
11,6.5mm,1.5mm,1mm,7.2773417e-18
12,7.5mm,1.5mm,1.5mm,7.7474623e-18
13,6.4mm,2mm,0.2mm,5.1997865e-18
14,7mm,2mm,0.5mm,5.3768843e-18
15,8mm,2mm,1mm,5.6403479e-18
16,9mm,2mm,1.5mm,5.9454427e-18
