a,g,T
0.5mm,0.2mm,1.90mm
0.5mm,0.5mm,2.50mm
0.5mm,1.0mm,3.50mm
0.5mm,1.5mm,4.50mm
1.0mm,0.2mm,3.40mm
1.0mm,0.5mm,4.00mm
1.0mm,1.0mm,5.00mm
1.0mm,1.5mm,6.00mm
1.5mm,0.2mm,4.90mm
1.5mm,0.5mm,5.50mm
1.5mm,1.0mm,6.50mm
1.5mm,1.5mm,7.50mm
2.0mm,0.2mm,6.40mm
2.0mm,0.5mm,7.00mm
2.0mm,1.0mm,8.00mm
2.0mm,1.5mm,9.00mm
