Variation,T,a,g,IntH2_total: None
1,2.6mm,0.5mm,0.2mm,1.3519516e-17
2,3.5mm,0.5mm,0.5mm,1.37554e-17
3,5mm,0.5mm,1mm,1.3259271e-17
4,6.5mm,0.5mm,1.5mm,1.3658919e-17
5,4.6mm,1mm,0.2mm,7.7558548e-18
6,5.5mm,1mm,0.5mm,8.1781612e-18
7,7mm,1mm,1mm,8.1904655e-18
8,8.5mm,1mm,1.5mm,8.7242577e-18
9,6.6mm,1.5mm,0.2mm,5.4371263e-18
10,7.5mm,1.5mm,0.5mm,5.5389731e-18
11,9mm,1.5mm,1mm,5.9522076e-18
12,8.6mm,2mm,0.2mm,4.1869268e-18
13,9.5mm,2mm,0.5mm,4.332249e-18
