"a [mm]","IntH2_intotal []"
0.5,1.7599901175933E-17
0.6,1.51465995947067E-17
0.7,1.33782780015655E-17
0.8,1.22320687736435E-17
0.9,1.09317529223518E-17
1,9.85962932034085E-18
1.1,9.13038765960517E-18
1.2,8.38767480690063E-18
1.3,7.89538067955192E-18
1.4,7.21348705252476E-18
1.5,6.746866038946E-18
