a,g,T
0.5mm,0.2mm,1.20mm
0.5mm,0.5mm,1.50mm
0.5mm,1.0mm,2.00mm
0.5mm,1.5mm,2.50mm
1.0mm,0.2mm,2.20mm
1.0mm,0.5mm,2.50mm
1.0mm,1.0mm,3.00mm
1.0mm,1.5mm,3.50mm
1.5mm,0.2mm,3.20mm
1.5mm,0.5mm,3.50mm
1.5mm,1.0mm,4.00mm
1.5mm,1.5mm,4.50mm
2.0mm,0.2mm,4.20mm
2.0mm,0.5mm,4.50mm
2.0mm,1.0mm,5.00mm
2.0mm,1.5mm,5.50mm
