Variation,a,IntH2_total: None
1,0.5mm,1.7494394e-17
2,0.8mm,1.2217236e-17
3,1mm,9.959751e-18
4,1.2mm,8.4908362e-18
5,1.5mm,6.9242229e-18
6,2mm,5.3768843e-18
